nifurtimox	CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1
risdiplam	Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1
oliceridine	COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1
viltolarsen	Cc1cn([C@H]2CN(P(=O)(OC[C@@H]3CN(P(=O)(OC[C@@H]4CN(P(=O)(OC[C@@H]5CN(P(=O)(OC[C@@H]6CN(P(=O)(OC[C@@H]7CN(P(=O)(OC[C@@H]8CN(P(=O)(OC[C@@H]9CN(P(=O)(OC[C@@H]%10CN(P(=O)(OC[C@@H]%11CN(P(=O)(OC[C@@H]%12CN(P(=O)(OC[C@@H]%13CN(P(=O)(OC[C@@H]%14CN(P(=O)(OC[C@@H]%15CN(P(=O)(OC[C@@H]%16CN(P(=O)(OC[C@@H]%17CN(P(=O)(OC[C@@H]%18CN(P(=O)(OC[C@@H]%19CN(P(=O)(OC[C@@H]%20CNC[C@H](n%21ccc(N)nc%21=O)O%20)N(C)C)C[C@H](n%20cc(C)c(=O)[nH]c%20=O)O%19)N(C)C)C[C@H](n%19cc(C)c(=O)[nH]c%19=O)O%18)N(C)C)C[C@H](n%18cnc%19c(=O)[nH]c(N)nc%19%18)O%17)N(C)C)C[C@H](n%17cc(C)c(=O)[nH]c%17=O)O%16)N(C)C)C[C@H](n%16cnc%17c(=O)[nH]c(N)nc%17%16)O%15)N(C)C)C[C@H](n%15cnc%16c(=O)[nH]c(N)nc%16%15)O%14)N(C)C)C[C@H](n%14cnc%15c(N)ncnc%15%14)O%13)N(C)C)C[C@H](n%13cnc%14c(N)ncnc%14%13)O%12)N(C)C)C[C@H](n%12cnc%13c(=O)[nH]c(N)nc%13%12)O%11)N(C)C)C[C@H](n%11cc(C)c(=O)[nH]c%11=O)O%10)N(C)C)C[C@H](n%10ccc(N)nc%10=O)O9)N(C)C)C[C@H](n9cc(C)c(=O)[nH]c9=O)O8)N(C)C)C[C@H](n8cc(C)c(=O)[nH]c8=O)O7)N(C)C)C[C@H](n7cnc8c(=O)[nH]c(N)nc87)O6)N(C)C)C[C@H](n6cnc7c(=O)[nH]c(N)nc76)O5)N(C)C)C[C@H](n5ccc(N)nc5=O)O4)N(C)C)C[C@H](n4ccc(N)nc4=O)O3)N(C)C)C[C@@H](COP(=O)(N(C)C)N3C[C@@H](COP(=O)(N(C)C)N4C[C@@H](CO)O[C@@H](n5ccc(N)nc5=O)C4)O[C@@H](n4ccc(N)nc4=O)C3)O2)c(=O)[nH]c1=O
clascoterone	CCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
copper Cu 64 dotatate	C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN2CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)O)CC2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(=O)O.[64Cu+2]
pralsetinib	COC1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CCC(c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1
remdesivir	CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1
lonafarnib	NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1
setmelanotide	CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H](C)NC1=O
gallium Ga 68 PSMA-11	O=C([O-])CN(CCN(CC(=O)[O-])Cc1cc(CCC(=O)NCCCCCC(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)ccc1[O-])Cc1cc(CCC(=O)O)ccc1[O-].[68Ga+3].[H+]
berotralstat	N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1
tirbanibulin	O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1
relugolix	CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1
vibegron	O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21
vericiguat	COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N
voclosporin	C=C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
tepotinib	CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1
umbralisib	CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F
trilaciclib	CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1
casimersen	CN(C)P(=O)(OC[C@@H]1CNC[C@H](n2ccc(N)nc2=O)O1)N1CCN(C(=O)OCCOCCOCCO)CC1
